CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1112.441921,3.708139736666667,166.03647960804852,44.778651973008024,6.699621064538432,269.69164896
1,691200,2565.242672,3.7112885879629625,181.75113354343966,21.256538942579656,14.113304184203777,116.95409282
1,806400,2992.757527,3.711256853918651,189.25481631215152,18.972520514210817,15.812342897470776,100.248547878
1,940800,3491.782671,3.7115036894132656,197.78558826722352,16.99400549991789,17.65328368296983,85.921353769
1,1152000,4275.818819,3.7116482803819446,206.1220913536143,14.462893930565459,20.742736650096614,70.166636849
1,1324800,4917.065495,3.711553060839372,213.17604598638334,13.007338843998394,23.06390289343623,61.016887633
1,1516800,5630.313608,3.711968359704642,224.82481569790568,11.980231202338699,25.041252955238132,53.286961073
1,1651200,6126.324818,3.710225786094961,243.93044798181248,11.945719803243982,25.11359758484641,48.971827429
1,1804800,6699.568994,3.7120838840868795,233.38399977429546,10.45164013119587,28.70362892658018,44.78301915
4,691200,6281.801621,9.088254660011573,242.8451867878298,11.600667669006716,25.860580490681954,47.769806857
4,940800,8557.736194,9.096233199404761,295.39520389508823,10.35956036753333,28.95875783881664,35.070171184
4,1228800,11180.263109,9.09852141031901,352.5571592381923,9.464836677947963,31.69626800840286,26.846247282
4,1344000,12228.427017,9.098532006696429,388.54266266766666,9.537621736696911,31.454382264471796,24.547167282
4,1516800,13792.469312,9.09313641350211,443.90360794580954,9.66076049993722,31.053455884963668,21.763194367
4,1651200,15019.525383,9.096127291061046,483.1921042576316,9.657597628820804,31.063625917145412,19.987076659
4,1900800,17301.038062,9.101977094907408,595.1391024578822,10.327242711976963,29.049380204076797,17.352653639
4,2054400,19377.341429,9.432117128602025,671.7119432215333,10.408380028482378,28.822929137776907,15.49530291
4,2131200,19381.09697,9.093983187875375,647.2704564406666,10.027841823570203,29.91670643376695,15.492506608
4,2400000,21838.829439,9.09951226625,721.4369875447691,9.91997350347641,30.242016260917065,13.750297912
7,806400,7334.425348,9.09526952876984,267.634494716625,10.950500935256512,27.39600697481449,40.915880245
7,1056000,9549.578227,9.043161199810607,388.2577482787097,12.202745600803539,24.584631181710886,31.429496655
7,1324800,12047.225122,9.093617996678745,393.61093470045836,9.807010923192811,30.590360544059713,24.915494105
7,1516800,13790.567252,9.091882418248947,462.8102184581429,10.073955286180588,29.779762911151572,21.766924939
7,1766400,16064.257028,9.094348408061594,559.2513065872778,10.451738465484752,28.703358870938413,18.688804733
7,1862400,16928.111951,9.089407190184707,607.1125023379999,10.767816460010932,27.860801780391363,17.736113848
7,2035200,18516.232564,9.0979916293239,662.028054981375,10.735339459323251,27.94508745035174,16.21583765
7,2208000,21829.294914,9.886456029891303,796.8532309983077,10.96179999166435,27.367768088099414,13.756360099
7,2380800,21815.008726,9.162890089885751,798.285919417923,10.9883297566122,27.301692490569437,13.764904891
7,2400000,21829.294914,9.0955395475,808.7746118163845,11.12623663426311,26.963294945224664,13.756906401
